Message,Label
"Win a free iPhone 13! Click here to claim!",1
"Can we schedule a meeting for next week?",0
"Exclusive offer: 50% off all products today!",1
"Please send the updated project plan.",0
"Congratulations! You've won $5000!",1
"Let's grab coffee this weekend.",0
"Get rich quick with our investment plan!",1
"Reminder: Your subscription renews tomorrow.",0
"Free trial for premium software! Sign up now!",1
"Could you review my presentation slides?",0
"Unlock your $1000 bonus now! Click here!",1
"Hi, how's the project coming along?",0
"Special deal: Buy one, get one free!",1
"Meeting rescheduled to 2 PM tomorrow.",0
"Claim your free gift card today!",1
"Are you free for a call this afternoon?",0
"Last chance to save 70% on your order!",1
"Please confirm your attendance for the event.",0
"Win a dream vacation! Enter now!",1
"Can you share the latest sales figures?",0
"Get your free crypto trading guide!",1
"Let's finalize the budget by EOD.",0
"Exclusive access to our VIP sale!",1
"Could you send me the meeting notes?",0
"Your account has been compromised! Click to secure!",1
"Looking forward to our team lunch!",0
"Save big on electronics this week only!",1
"Please update the client on our progress.",0
"Free consultation for your business growth!",1
"Reminder: Doctor's appointment at 3 PM.",0
"Win $1000 in our online raffle!",1
"Can we discuss the new marketing strategy?",0
"Get a free trial of our premium service!",1
"Could you proofread this document?",0
"Your prize awaits! Claim it now!",1
"Let's catch up over dinner soon.",0
"70% off all items! Shop now!",1
"Please send the invoice by tomorrow.",0
"Unlock exclusive rewards with your subscription!",1
"Are you available for a quick chat?",0
"Congratulations! You're our lucky winner!",1
"Can you help with the project timeline?",0
"Free shipping on all orders today!",1
"Reminder: Team meeting at 10 AM.",0
"Get your dream car at 0% interest!",1
"Please share the latest report.",0
"Exclusive deal: Save $500 on your next purchase!",1
"Could we reschedule our call?",0
"Your account needs verification! Click here!",1
"Looking forward to your feedback!",0
"Win a free trip to Hawaii! Enter now!",1
"Can you join the 11 AM webinar?",0
"Special offer: 30-day free trial!",1
"Please confirm receipt of the payment.",0
"Get rich with our crypto tips!",1
"Let's plan the team outing.",0
"Claim your $200 gift card today!",1
"Could you update the spreadsheet?",0
"Last chance for 80% off clearance!",1
"Please review the contract draft.",0
"Free ebook on wealth building! Download now!",1
"Are we still meeting at 4 PM?",0
"Win a luxury watch! Click to enter!",1
"Can you send the meeting agenda?",0
"Exclusive sale: 60% off everything!",1
"Please check the latest email thread.",0
"Your subscription has expired! Renew now!",1
"Let's discuss the project scope tomorrow.",0
"Get a free consultation today!",1
"Could you share the presentation link?",0
"Win $500! Click to claim your prize!",1
"Reminder: Your package arrives tomorrow.",0
"Shop now for exclusive discounts!",1
"Can we finalize the report today?",0
"Unlock your free trial now!",1
"Please confirm your RSVP for the event.",0
"Get 50% off your next order!",1
"Are you free for lunch tomorrow?",0
"Claim your free vacation package!",1
"Could you send the updated proposal?",0
"Last chance to win $1000!",1
"Please review the budget details.",0
"Free access to our premium content!",1
"Can we meet to discuss the timeline?",0
"Win a free laptop! Enter today!",1
"Reminder: Client call at 1 PM.",0
"Exclusive offer: 75% off your purchase!",1
"Please share the project updates.",0
"Get rich with our stock tips!",1
"Could you join the team call?",0
"Claim your $100 bonus now!",1
"Are you available this afternoon?",0
"Save big on our clearance sale!",1
"Please send the latest draft.",0
"Win a free gift card! Click here!",1
"Let's schedule a team meeting.",0
"70% off all products! Shop now!",1
"Can you confirm the meeting time?",0